place_id,entity_id,name_zh,original_name,place_kind,reality_status,country_code,parent_place_id,latitude,longitude,coordinate_precision,coordinate_source_url,coordinate_retrieved_at,map_status,source_kind,classification_status,classification_source_url,classification_note
V1-ENT-0001,V1-ENT-0001,阿根廷,Argentina,country,real,AR,,,,country_polygon_required,https://www.geonames.org/3865483/argentine-republic.html,2026-08-11,featured,v1_entity,confirmed,https://www.geonames.org/3865483/argentine-republic.html,V1国家级文学关联节点；地图使用国家边界数据，不把国家中心点当作精确地点
V1-ENT-0008,V1-ENT-0008,阿什格罗夫,Ashgrove,fictional_place,unknown,,,,,none,,2026-08-11,hidden,v1_entity,hold,https://ia601504.us.archive.org/35/items/TheGardenOfForkingPathsJorgeLuisBorges1941/The-Garden-of-Forking-PathsJorge-Luis-Borges-1941.pdf,原始材料仅支持故事空间名称；未确认现实地理对象，不显示坐标
V1-ENT-0009,V1-ENT-0009,加雷街,calle Garay,street,real,AR,V1-ENT-0001,,,street_unresolved,,2026-08-11,hidden,v1_entity,provisional,,V1关系指向布宜诺斯艾利斯街道；当前没有足够可靠的公开点位来源，暂不落点
V1-ENT-0022,V1-ENT-0022,里约热内卢,Rio de Janeiro,city,real,BR,V2-GEO-BR,-22.90642,-43.18223,city_centroid,https://www.geonames.org/search.html?country=BR,2026-08-11,featured,v1_entity,confirmed,https://www.geonames.org/search.html?country=BR,GeoNames城市点；仅用于地图概览，不表示具体叙事场景
V1-ENT-0051,V1-ENT-0051,墨西哥,México,country,real,MX,,,,country_polygon_required,https://www.geonames.org/advanced-search.html?q=M%C3%A9xico,2026-08-11,featured,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?q=M%C3%A9xico,V1国家级文学关联节点；地图使用国家边界数据
V1-ENT-0052,V1-ENT-0052,恰帕斯,Chiapas,region,real,MX,V1-ENT-0051,16.5,-92.5,region_centroid,https://www.chiapas.gob.mx/ubicacion/,2026-08-11,eligible,v1_entity,confirmed,https://www.chiapas.gob.mx/ubicacion/,州级范围来源于恰帕斯州政府；点位为公开地理数据库提供的区域代表点
V1-ENT-0053,V1-ENT-0053,科米坦,Comitán,city,real,MX,V1-ENT-0051,16.24003512,-92.13668459,city_centroid,https://www.geonames.org/search.html?country=MX&q=Mexico&startRow=150,2026-08-11,eligible,v1_entity,confirmed,https://www.geonames.org/search.html?country=MX&q=Mexico&startRow=150,GeoNames populated place点位
V1-ENT-0054,V1-ENT-0054,伊斯特佩克,Ixtepec,city,real,MX,V1-ENT-0051,16.56052,-95.10375,city_centroid,https://www.geonames.org/advanced-search.html?country=MX&featureClass=P&q=Ixtepec,2026-08-11,eligible,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?country=MX&featureClass=P&q=Ixtepec,GeoNames populated place点位
V1-ENT-0055,V1-ENT-0055,科马拉,Comala,fictional_place,fictional,MX,V1-ENT-0051,,,none,,2026-08-11,featured,v1_entity,confirmed,https://lugares.inah.gob.mx/en/node/4838,文学中的科马拉作为虚构故事空间；不得与现实科马拉镇合并或使用其坐标
V1-ENT-0056,V1-ENT-0056,墨西哥城,Ciudad de México,city,real,MX,,19.42847243,-99.12766457,city_centroid,https://www.geonames.org/advanced-search.html?q=M%C3%A9xico,2026-08-11,hidden,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?q=M%C3%A9xico,V1实体目前没有正式地图关系；保留候选点但不在N2主地图显示
V1-ENT-0057,V1-ENT-0057,圣加布里埃尔,San Gabriel,city,real,MX,V1-ENT-0051,19.71223586,-103.75194482,city_centroid,https://www.geonames.org/advanced-search.html?country=MX&q=Mexico&startRow=1450,2026-08-11,eligible,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?country=MX&q=Mexico&startRow=1450,GeoNames populated place点位
