relation_id,v1_relationship_id,source_entity_id,source_name_zh,target_place_id,target_name_zh,relation_type,map_relation_role,space_kind,confidence,review_status,description_zh,source_reference
V2-GEO-REL-001,V1-REL-0011,V1-ENT-0003,《小径分岔的花园》,V1-ENT-0008,阿什格罗夫,SET_IN,fictional_setting,unknown,medium,accepted_at_n3,《小径分岔的花园》故事发生于阿什格罗夫村,V1-REL-0011
V2-GEO-REL-002,V1-REL-0012,V1-ENT-0004,《阿莱夫》,V1-ENT-0009,加雷街,SET_IN,story_setting,real,medium,accepted_at_n3,《阿莱夫》故事核心地点为布宜诺斯艾利斯加雷街,V1-REL-0012
V2-GEO-REL-003,V1-REL-0013,V1-ENT-0018,《星辰时刻》,V1-ENT-0022,里约热内卢,SET_IN,story_setting,real,medium,accepted_at_n3,《星辰时刻》故事背景包含里约热内卢,V1-REL-0013
V2-GEO-REL-004,V1-REL-0014,V1-ENT-0002,豪尔赫·路易斯·博尔赫斯,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,博尔赫斯与阿根廷关联,V1-REL-0014
V2-GEO-REL-005,V1-REL-0032,V1-ENT-0032,《未来的回忆》,V1-ENT-0054,伊斯特佩克,SET_IN,story_setting,real,high,accepted_at_n3,《未来的回忆》故事发生于伊斯特佩克,V1-REL-0032
V2-GEO-REL-006,V1-REL-0033,V1-ENT-0035,《巴伦坎南》,V1-ENT-0052,恰帕斯,SET_IN,story_setting,real,high,accepted_at_n3,《巴伦坎南》故事发生于恰帕斯村镇,V1-REL-0033
V2-GEO-REL-007,V1-REL-0034,V1-ENT-0038,《佩德罗·巴拉莫》,V1-ENT-0055,科马拉,SET_IN,fictional_setting,fictional,high,accepted_at_n3,《佩德罗·巴拉莫》故事核心地点为科马拉,V1-REL-0034
V2-GEO-REL-008,V1-REL-0035,V1-ENT-0029,埃莱娜·加罗,V1-ENT-0051,墨西哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,加罗与墨西哥关联,V1-REL-0035
V2-GEO-REL-009,V1-REL-0036,V1-ENT-0030,罗萨里奥·卡斯特利亚诺斯,V1-ENT-0052,恰帕斯,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,卡斯特利亚诺斯与恰帕斯关联,V1-REL-0036
V2-GEO-REL-010,V1-REL-0037,V1-ENT-0030,罗萨里奥·卡斯特利亚诺斯,V1-ENT-0053,科米坦,ASSOCIATED_WITH_PLACE,author_geography,real,medium,accepted_at_n3,卡斯特利亚诺斯与科米坦关联,V1-REL-0037
V2-GEO-REL-011,V1-REL-0038,V1-ENT-0031,胡安·鲁尔福,V1-ENT-0051,墨西哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,鲁尔福与墨西哥关联,V1-REL-0038
V2-GEO-REL-012,V1-REL-0039,V1-ENT-0031,胡安·鲁尔福,V1-ENT-0057,圣加布里埃尔,ASSOCIATED_WITH_PLACE,author_geography,real,medium,accepted_at_n3,鲁尔福与圣加布里埃尔关联,V1-REL-0039
V2-GEO-REL-013,V1-REL-0055,V1-ENT-0072,加西亚·马尔克斯,V1-ENT-0095,哥伦比亚,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,加西亚·马尔克斯与哥伦比亚关联,V1-REL-0055
V2-GEO-REL-014,V1-REL-0056,V1-ENT-0072,加西亚·马尔克斯,V1-ENT-0098,阿卡塔卡,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,加西亚·马尔克斯与阿卡塔卡关联,V1-REL-0056
V2-GEO-REL-015,V1-REL-0057,V1-ENT-0072,加西亚·马尔克斯,V1-ENT-0097,马孔多,ASSOCIATED_WITH_PLACE,fictional_space,fictional,medium,accepted_at_n3,加西亚·马尔克斯与马孔多（虚构地）关联,V1-REL-0057
V2-GEO-REL-016,V1-REL-0058,V1-ENT-0074,阿莱霍·卡彭铁尔,V1-ENT-0096,古巴,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,卡彭铁尔与古巴关联,V1-REL-0058
V2-GEO-REL-017,V1-REL-0066,V1-ENT-0116,《城市与狗》,V1-ENT-0125,利马,SET_IN,story_setting,real,medium,accepted_at_n3,《城市与狗》的故事以利马为背景,V1-REL-0066
